表示順,認識語,ファイル名,ID,索引,次候補
0,あいさつして,Ninshiki/NF23,23,0,-707
1,歩いてきて,NF57,57,,
2,ありがとう,NF233,233,,
3,雨降ってるね,NF126,126,,
4,アラーム,NF151,151,,5
5,遊ぼう,NF160,160,,7
6,雨降るね,NF125,125,,
7,遊んで,NF161,161,,7
8,あいこ,NF222,222,,-302
9,いってきます,NF29,29,1,
10,いい天気だね,NF129,129,,
11,いいことがあったよ,NF107,107,,
12,嫌なことがあった,NF108,108,,
13,一杯付き合ってよ,NF273,273,,
14,いってくるね,NF30,30,,
15,いっしょに遊ぼう,NF163,163,,
16,いっしょに遊んで,NF162,162,,
17,いっしょに踊ろう,NF145,145,,
18,いっしょに飲もうよ,NF274,274,,
19,いいよ,NF223,223,,-700
20,いいえ,NF216,216,,201
21,１分,NF154,154,,500
22,歌うたって,NF177,177,2,
23,占いして,NF182,182,,
24,腕立て伏せ,NF175,175,,
25,後ろ下がって,NF79,79,,
26,うれしいね,NF90,90,,
27,うまくいったよ,NF258,258,,
28,うちわであおいで,NF83,83,,
29,占って,NF183,183,,
30,後ろに下がって,NF80,80,,-704
31,エボルタって知ってる？,NF210,210,3,
32,起きてよ,NF71,71,4,
33,踊って,NF144,144,,
34,おもしろいこといって,NF165,165,,
35,おやすみ,NF28,28,,
36,お正月だよ,NF122,122,,601
37,お名前は？,NF12,12,,
38,お疲れ様,NF40,40,,
39,おはよう,NF25,25,,
40,音大きくして,NF136,136,,
41,音小さくして,NF139,139,,
42,応援して,NF121,121,,
43,男の子？,NF17,17,,
44,おめでとう,NF232,232,,
45,おはようさん,NF252,252,,
46,おもしろいね,NF93,93,,
47,おもしろかったねえ,NF94,94,,
48,お留守番,NF190,190,,
49,起きて,NF72,72,,
50,遅くなるよ,NF241,241,,
51,お腹すいてない？,NF205,205,,
52,おしまい,NF54,54,,103
53,遅くなる,NF240,240,,
54,オッケー,NF224,224,,
55,お腹すいた？,NF204,204,,
56,お風呂,NF245,245,,
57,終わりにしよ,NF49,49,,
58,おそうじして,NF146,146,,1
59,音量大きく,NF137,137,,
60,音量小さく,NF140,140,,
61,終わりにする,NF50,50,,
62,お風呂入る,NF246,246,,
63,帰ったよ,NF38,38,5,602
64,かわいいね,NF92,92,,
65,かしこいね,NF91,91,,
66,かぜひいちゃった,NF118,118,,
67,かっこいいね,NF95,95,,-708
68,悲しいね,NF98,98,,
69,悲しいよ,NF101,101,,
70,開始,NF45,45,,100
71,勝った,NF220,220,,300
72,今日の運勢は？,NF193,193,6,
73,今日のラッキーカラーは?,NF194,194,,
74,キロボって知ってる？,NF211,211,,
75,聞いて聞いて,NF05,5,,
76,記念日なんだ,NF112,112,,603
77,今日暑いね,NF127,127,,
78,今日寒いね,NF128,128,,
79,嫌いだよ,NF218,218,,
80,きれいにして,NF147,147,,1
81,クイズ出して,NF170,170,7,2
82,クリスマスだよ,NF113,113,,604
83,クイズする,NF171,171,,2
84,クイズ,NF172,172,,2
85,ケンカしたんだ,NF119,119,8,
86,蹴って,NF82,82,,401
87,こんにちは,NF26,26,9,
88,こんばんは,NF27,27,,
89,コマーシャルやって,NF185,185,,
90,こっちに来て,NF62,62,,
91,こっち向いて,NF64,64,,
92,困ったね,NF96,96,,
93,困ったよ,NF97,97,,
94,今月ピンチ,NF266,266,,
95,声大きくして,NF138,138,,
96,声小さくして,NF141,141,,
97,言葉の練習,NF253,253,,
98,ココロボにそうじさせて,NF149,149,,
99,こっちにおいで,NF60,60,,
100,こっちへおいで,NF59,59,,2307
101,こっち来て,NF61,61,,
102,ココロボ,NF148,148,,
103,さようなら,NF35,35,10,
104,サッカーしよう,NF178,178,,4
105,サッカーして,NF179,179,,4
106,３分,NF155,155,,501
107,ＣＭやって,NF184,184,11,
108,写真撮るよ,NF195,195,,
109,身長は？,NF19,19,,
110,試合なんだ,NF115,115,,607
111,失敗しちゃった,NF259,259,,
112,シュート,NF81,81,,400
113,終了,NF48,48,,101
114,座って,NF75,75,12,
115,すごく上手だね,NF268,268,,
116,すごかったね,NF267,267,,
117,好きな人ができた,NF262,262,,
118,好きだよ,NF217,217,,
119,スイッチオフ,NF276,276,,
120,スイッチオン,NF275,275,,
121,スタート,NF44,44,,102
122,ストップ,NF47,47,,
123,座ってて,NF76,76,,
124,セキュリティモード,NF188,188,13,
125,立ち上がって,NF73,73,15,
126,誕生日なんだ,NF111,111,,
127,タイマー,NF150,150,,600
128,ただいま,NF37,37,,
129,体重は？,NF20,20,,
130,高橋智隆,NF209,209,,
