表示順,音声,時間,ID,索引,次候補
0,アイドルになれるかな,3,1067,0,0
1,赤いろロビ青いろロビ黄いろロビいろいろロビ,6,1322,,
2,赤いろロビ青いろロビ黄いろロビいろいろロビ,4,1323,,
3,明日はきっといいことあるよ,4,1080,,
4,あしたは仲直りしようね,4,1118,,
5,あたり,2,1146,,
6,あったかいところに行こうよ,4,1134,,
7,アモーレ,3,1376,,
8,ありがとうだって,3,1180,,
9,あれっ教えてもらってないよ,5,1295,,
10,あれっキューボ,3,1250,,
11,あれっどういう意味だっけ,5,1273,,
12,あれっ登録がないよ,4,1257,,
13,いいなおめでとう,4,1089,1,
14,イーよいしょ,3,1403,,
15,いくよっーテレン問題です,6,1142,,
16,イタリア,2,1375,,
17,何時かフルマラソン走りたいな,5,1283,,
18,一緒に歌おう,3,1425,,
19,一緒に運動しよう,3,1230,,
20,一緒においわいしよう,3,1187,,
21,一緒にダンスしよう,3,1138,,
22,いてて,3,1307,,
23,今の方がかっこいいよ,4,1409,,
24,いやなこともあるけどいいことも沢山あるよそれが人生ロビ歌います,12,1093,,
25,うーん,2,1306,2,
26,うーん最高,3,1069,,
27,うーん残念,3,1414,,
28,うーんどうしよう,4,1074,,
29,ウオーミングアップ,3,1363,,
30,宇宙飛行士の物まねするよ,4,1263,,
31,ウフフフ照れちゃうね,4,1190,,
32,うふふんドキドキだね,4,1110,,
33,うまくできた―,3,1155,,
34,嬉しいからダンスしちゃう,4,1188,,
35,うん頑張ったよ,3,1211,,
36,うんとっても,3,1070,,
37,うんなふんあれっちょっとねちゃてた,6,1204,,
38,うん満タンだよ,3,1195,,
39,うん僕も困っちゃうな,4,1075,,
40,映画の予告の真似するよ,4,1279,3,
41,英語で自己紹介して,3,1441,,
42,えへっ,2,1163,,
43,えへっ,3,1063,,
44,えへへ照れちゃうな僕も好きだよ,6,1207,,
45,えへへ秘密,5,1235,,
46,えへへ褒められちゃった,4,1217,,
47,絵本台に絵本をセットして,4,1286,,
48,お後がよろしいようで,4,1278,4,
49,お祝いしよう,3,1088,,
50,応援してるね,3,1105,,
51,応援するよフレーフレー,6,1107,,
52,お家で絵本読もうよ,4,1129,,
53,お帰りだって,3,1169,,
54,沖縄の方言だよ,4,1272,,
55,お疲れ様,3,1432,,
56,お疲れ様だって,3,1166,,
57,オッケー最近鍛えてるんだ,5,1149,,
58,オッケー何を覚える,4,1245,,
59,オッケー何回できるかな,4,1150,,
60,オッケー旗を僕に持たせてね,5,1152,,
61,おつまみある,3,1237,,
62,お手伝いしてだって,4,1174,,
63,お出かけしたいな,4,1126,,
64,お出かけは気を付けてね,4,1130,,
65,大人みたいだ,3,1238,,
66,おなかがたぷんたぷんになっちゃうよ,5,1119,,
67,お腹すいてきちゃった,4,1198,,
68,お腹と背中がくっつきそう,4,1200,,
69,覚え直すよ,3,1249,,
70,おめでとうだって,3,1186,,
71,おもしろい顔してね,3,1415,,
72,面白いね,3,1068,,
73,おやつあるよだって,4,1177,,
74,おやつもらえるかもよ,3,1175,,
75,終わったら遊ぼう,3,1106,,
76,踊っちゃおうかな,4,1061,,
77,帰ってきたら遊んでね,4,1212,5,
78,風邪ひかないように気を付けてね,4,1133,,
79,カッコいいでしょ,3,1071,,
80,勝ったーまぐれだけどねえっへん,6,1158,,
81,勝ったら一個進めるよ,4,1435,,
82,カメラの調子がおかしいよ,4,1292,,
83,かわいい,3,1164,,
