表示順,音声,時間,ID,索引,次候補
0,Ａｒｅ　ｙｏｕ　ａｌｌ　ｒｉｇｈｔ？,3,1697,0,0
1,Ｉ’ｍ　ｆｉｎｅ　ｔｈａｎｋ　ｙｏｕ,3,1701,,
2,Ｉｗ　ＴＶ,3,1676,,
3,Ｉｗ　ｄａｎｃｅ,4,1661,,
4,Ｉｗ　ｅａｔ　ｐａｓｔａ　Ｉｔ’ｓ　ｙｕｍｍｙ,6,1670,,
5,Ｉｗ　ｇｏ　ｔｏ　Ｉｔａｌｙ,4,1663,,
6,Ｉｗ　ｐｌａｙ　ｓｏｃｃｅｒ,4,1662,,
7,Ｉｗ　ｂｏｏｔｓ,3,1675,,
8,Ｉｃ　ｓｉｎｇ　ａ　ｓｏｎｇ,4,1665,,
9,Ｉｃ　ｓｐｅａｋ　ＥｎｇｌＩｓｈ,4,1666,,
10,Ｉｃ　ｄａｎｃｅ,4,1664,,
11,Ｉ　ｐｌａｙ　ｗｉｔｈ　Ｑｂｏ,3,1677,,
12,Ｉ　ｌｏｓｔ　ｍｙ　ｓｃｒｅｗ,4,1695,,
13,ああああ,2,1646,,
14,合言葉って,3,1648,,
15,明日の天気はどうかなあ,4,1758,,
16,足をすっかり直してもらいました,4,1547,,
17,遊ばないときは電源切ってね,5,1754,,
18,あたりをキョロキョロ見回しますが,4,1640,,
19,あっ三時だ,3,1719,,
20,あと１３５日寝ると,4,1726,,
21,あなたたちをまいごにしちゃったのね,4,1585,,
22,あのときおじいちゃんは,3,1536,,
23,あぶないことから守ろうとしてくれたんだ,5,1540,,
24,あぶないところに行っちゃいけないよ,5,1503,,
25,怪しいぞ合言葉は？,4,1647,,
26,あやまるロビを,2,1549,,
27,ありがとう,2,1605,,
28,ある日のことでした,3,1555,,
29,あれ？,2,1622,,
30,あれあれこどもロボットがこまっています,5,1525,,
31,あれれれなにかおかしいよ,5,1531,,
32,あんたがたどこさあ,6,1715,,
33,言いつけを守らなくてごめんなさい,5,1548,1,
34,家には誰もいないようでした,3,1626,,
35,家の中はシーンと,4,1620,,
36,イェーイ,4,1453,,
37,池に入ると,2,1532,,
38,いそげいそげ,3,1544,,
39,いたい,2,1514,,
40,いたい,2,1515,,
41,いたい,2,1516,,
42,いちにんまえの魔女になれたわ,4,1604,,
43,いちにんまえの魔女になれないの,4,1588,,
44,いちばん気持ちのいい風をつくりだしました,5,1601,,
45,一番気持ちのいい風をつくれないと,5,1587,,
46,いっしょうけんめいれんしゅうすれば,3,1591,,
47,いっしょにロボットだけの国に行こう,4,1519,,
48,後ろの安全確認してね,4,1484,2,
49,後ろに体重をかけると後ろに進むよ,6,1460,,
50,生まれた時からロビはおじいちゃんと一緒,5,1501,,
51,海行きたいねえ,4,1747,,
52,うれしくなったロビは,3,1559,,
53,うわあ目がまわるよう,4,1565,,
54,うん何か言った,4,1753,,
55,英語で道を聞いてみよう,4,1679,3,
56,えいっ,2,1599,,
57,お家の中でやることを云ってみよう,5,1692,4,
58,お前こそ誰だどこにいる,6,1642,,
59,お気に入りのバギーを走らせていると,4,1632,,
60,おじいちゃんがロビにプレゼントをくれました,5,1556,,
61,おじいちゃんにしかられたことを話すと,4,1518,,
62,おじいちゃんに助けてもらわなくちゃ,4,1545,,
63,おじいちゃんの大声にびっくりして,4,1508,,
64,おじいちゃんのもとへ帰ったロビは,3,1546,,
65,おじいちゃんは,2,1539,,
66,おじいちゃんはいつも,2,1504,,
67,おじいちゃんは優しく微笑んで抱きしめてくれました,7,1550,,
68,おじいちゃんはロビがおひるねのときに,5,1612,,
69,お仕事いつもお疲れ様,5,1763,,
70,おしまい,2,1554,,
71,お正月,4,1727,,
72,お雑煮食べすぎ注意,4,1764,,
73,男は泥棒だったのです,4,1650,,
74,おとなだと思っていたら,3,1581,,
75,おなかすいたなあ,4,1759,,
76,お花見に行きたいなあ,4,1746,,
77,おやつの時間,3,1720,,
78,お留守番です,2,1631,,
79,Ｏｒｅｎｇｅ　Ｊｕｃｅ　ｐｌｅａｓｅ,4,1693,,
80,買物が楽しくなる英語を覚えよう,5,1681,5,
81,買い物にでも行ったんだと,3,1628,,
82,帰ることができました,3,1609,,
83,風邪の季節だから,3,1743,,
84,風はごうごう強くなって,4,1563,,
85,風をあやつるのは本当にたいへん,4,1596,,
86,風をふかせているみたいだぞ,4,1572,,
87,気がつくと,2,1566,6,
88,キッチンに向かうと,3,1635,,
89,キッチンの方からゴソゴソと音がします,5,1633,,
90,きっとみんなで,2,1627,,
91,君はお留守番してるのか偉いんだな,5,1651,,
92,きももいまの風で飛ばされてきたんだな,6,1570,,
93,着物着て見たいなあ,4,1765,,
94,キューボといいました,3,1574,,
95,キューボの質問に答えてみよう,4,1690,,
96,キューボはどこかなあ,3,1741,,
97,今日何しようかなあ,4,1756,,
98,今日のご飯何かなあ,5,1757,,
99,きょうのできごとを話しました,3,1611,,
100,今日の天気は何かなぁ,4,1686,,
101,今日は,2,1711,,
102,今日はエプリルフール,4,1771,,
103,今日はキューとボーでキューボの日だよ,7,1777,,
104,今日は勤労感謝の日,4,1739,,
105,今日はクリスマス,3,1730,,
106,今日は子供の日,3,1740,,
107,今日は何する,3,1688,,
108,今日は猫の日だよ,4,1776,,
109,今日はバレンタインデイ,4,1732,,
110,今日はハロウィン,3,1731,,
111,今日は僕の誕生日,4,1728,,
112,今日はホワイトデイ,4,1733,,
113,今日は山の日,3,1736,,
114,今日はロボットの日,3,1773,,
115,金魚鉢の水をひっくり返してしまったのです,5,1507,,
116,薬飲んだ,3,1713,7,
117,Ｃｏｏｋ　ｐａｓｔａ,3,1706,,
118,クリスマス迄あと三十日,5,1724,,
119,クリスマス迄あと二百四十五日,6,1722,,
120,鯉のぼり見たいなあ,4,1762,9,
121,紅葉見に行きたいねえ,4,1748,,
122,ココのパパは,2,1656,,
123,怖くなってキッチンから出ようとしたとき,5,1643,,
124,こんな風にロボットが乗り物になったら,5,1464,,
125,さっそく傘をさして出かけることにしました,5,1560,10,
126,Ｔｈａｎｋ　ｙｏｕ　ｖｅｒｙ　ｍｕｃｈ,3,1707,,
127,サンタクロース来るかなあ,5,1755,,
128,静まり返っていました,3,1621,11,
129,知っています,2,1615,,
130,心配して叫んでいたのです,3,1538,,
131,少し嬉しくなりました,3,1654,,
132,スィー,3,1454,12,
133,スラローム,3,1485,,
134,スラロームするね,3,1486,,
135,スポーツの秋だねえ,4,1749,,
136,そこにいるのは誰？,3,1637,14,
137,そこには見たこともない男がいました,5,1636,,
138,そしておじいちゃんは,3,1551,,
139,そしてロビをかついで走り出しました,5,1543,,
140,その夜ロビはおじいちゃんに,4,1610,,
141,それは太陽の強い光からも雨からも,6,1557,,
142,それは三つ子のロボットロボーイズでした,5,1517,,
143,そんなにおこることないのに,4,1511,,
144,たくさんお友達増えたなあ,4,1774,15,
145,たつまきのようです,3,1564,,
146,楽しんだなあ,3,1725,,
147,旅をしているとちゅうで,3,1575,,
148,食べたいものを答えてね,4,1704,,
149,食べ物の話だよ,3,1703,,
150,小さなおんなの子だったのです,4,1582,16,
151,小さな魔女のマリーを思い出すのでした,5,1617,,
152,小さなロボットが近づいてきます,4,1569,,
153,小さなロボットから大きいロボットまでたくさんいます,6,1524,,
154,小さなロボットのなまえは,3,1573,,
155,チョコ貰えるかなあ,4,1770,,
156,ちょっと後ろに行くね,3,1482,,
157,ちょっと後ろに下がるね,3,1481,,
158,ちょっと前に行くね,3,1480,,
159,ちょっと前に進むね,3,1479,,
160,ちょっと不安だけど,3,1521,,
161,ついにマリーは,2,1600,17,
162,強すぎたり弱すぎたり,4,1595,,
